gain_index,kp_angle,kd_angle,kp_cart,kd_cart,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,mean_abs_action,reward_mean,episode_length_mean
150,4.0,0.05,0.2,0.02,4,3,0.03333333333333333,0.0,0.3333333333333333,0.0,0.26499999999999996,0.3222644850590382,2.040766354051916,1.0,1.0,0.3333333333333333,0.2432518170337825,-17.007420510427313,200.0
150,4.0,0.05,0.2,0.02,5,3,0.075,0.0,0.6666666666666666,0.0,0.295,0.2736588224497817,2.0466527878350784,1.0,1.0,0.6666666666666666,0.26406022858780787,-51.97284482632781,200.0
150,4.0,0.05,0.2,0.02,6,3,0.008333333333333333,0.0,0.6666666666666666,0.0,0.405,0.5752621277939269,2.4260407642602666,1.0,1.0,0.6666666666666666,0.29797156205903425,-54.71766487551088,200.0
150,4.0,0.05,0.2,0.02,7,3,0.06666666666666667,0.0,0.6666666666666666,0.0,0.49666666666666665,0.7908440822809665,2.7732839502963635,1.0,1.0,0.6666666666666666,0.35991898090199603,-63.163162781267886,200.0
150,4.0,0.05,0.2,0.02,8,3,0.075,0.0,0.6666666666666666,0.0,0.26,0.3373859248369344,1.6627553677589582,1.0,1.0,0.6666666666666666,0.22898400053928814,-49.426559252547406,200.0
150,4.0,0.05,0.2,0.02,9,3,0.09166666666666667,0.0,0.6666666666666666,0.0,0.34833333333333333,0.2767361348186093,2.3459065517533806,1.0,1.0,0.6666666666666666,0.29123555070931,-53.783922343502724,200.0
151,4.0,0.05,0.2,0.05,0,3,0.0,0.0,0.6666666666666666,0.0,0.2916666666666667,0.6515397971680045,2.106113090271497,1.0,1.0,0.6666666666666666,0.2558071232751748,-56.740729775312644,200.0
151,4.0,0.05,0.2,0.05,1,3,0.0,0.0,1.0,0.0,0.27,0.37473391545709084,1.8042881701310136,1.0,1.0,1.0,0.2556634382307655,-85.834998474453,200.0
151,4.0,0.05,0.2,0.05,2,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.125,0.17278105638197663,1.30730509499676,1.0,1.0,0.6666666666666666,0.17819555059605752,-12.039146706364969,200.0
151,4.0,0.05,0.2,0.05,3,3,0.2333333333333333,0.0,0.6666666666666666,0.0,0.021666666666666667,0.14345747630459213,1.0846737878790795,1.0,1.0,0.6666666666666666,0.10309309081747658,-43.83482960354714,200.0
151,4.0,0.05,0.2,0.05,4,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.06833333333333333,0.1079859143329301,1.3289979984916014,1.0,1.0,0.0,0.14557422382859866,55.662477041529826,200.0
151,4.0,0.05,0.2,0.05,5,3,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.09999999999999999,0.1306672505439111,1.2321228460292775,1.0,1.0,0.3333333333333333,0.16137443378610192,22.261636582261513,200.0
151,4.0,0.05,0.2,0.05,6,3,0.06666666666666667,0.0,0.6666666666666666,0.0,0.23666666666666666,0.29875266367654874,1.7877652944100184,1.0,1.0,0.6666666666666666,0.22790385269867966,-50.04227893590896,200.0
151,4.0,0.05,0.2,0.05,7,3,0.19999999999999998,0.0,0.6666666666666666,0.0,0.24666666666666667,0.30107076124821663,2.013197183630498,1.0,1.0,0.6666666666666666,0.2809894566877666,-54.66974506236025,200.0
151,4.0,0.05,0.2,0.05,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.11166666666666665,0.23372401422345299,1.071518826467524,1.0,1.0,0.6666666666666666,0.14134120598419767,-10.557377799158596,200.0
151,4.0,0.05,0.2,0.05,9,3,0.3416666666666666,0.3333333333333333,0.3333333333333333,0.0,0.155,0.19584745780592924,1.5915880218203622,1.0,1.0,0.3333333333333333,0.20102821520556965,19.318435497461987,200.0
152,4.0,0.05,0.2,0.1,0,3,0.25,0.0,0.3333333333333333,0.0,0.075,0.14892465160882143,1.169949737825606,1.0,1.0,0.3333333333333333,0.12262944803308418,-11.02774715012229,200.0
152,4.0,0.05,0.2,0.1,1,3,0.0,0.0,0.6666666666666666,0.0,0.05666666666666667,0.1462785713383843,1.0636024781515332,1.0,1.0,0.6666666666666666,0.10891639724780632,-44.221826301692126,200.0
152,4.0,0.05,0.2,0.1,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.06109450948154083,0.7137419716075367,1.0,1.0,0.3333333333333333,0.05161989441075898,30.25190198083337,200.0
152,4.0,0.05,0.2,0.1,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.10350185731507448,0.7663434816752263,1.0,1.0,0.6666666666666666,0.02481604237461456,-4.982586622776561,200.0
152,4.0,0.05,0.2,0.1,4,3,0.5916666666666667,0.3333333333333333,0.0,0.0,0.0,0.08259615576818256,0.6949248770928453,1.0,1.0,0.0,0.038607109102338014,64.6320773172301,200.0
152,4.0,0.05,0.2,0.1,5,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0016666666666666668,0.05662046342550788,0.7222234782366302,1.0,1.0,0.3333333333333333,0.04718461480508668,63.418582150464694,200.0
152,4.0,0.05,0.2,0.1,6,3,0.06666666666666667,0.0,0.3333333333333333,0.0,0.005,0.14046638017674076,1.0434891862937314,1.0,1.0,0.3333333333333333,0.08613148572627348,-8.659528629378821,200.0
152,4.0,0.05,0.2,0.1,7,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.03166666666666667,0.1382351201343297,0.9270989961557407,1.0,1.0,0.6666666666666666,0.11351158473103305,-8.100049105502913,200.0
152,4.0,0.05,0.2,0.1,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.02666666666666667,0.227409623556332,0.8015012550501623,1.0,1.0,0.6666666666666666,0.056607538515448745,-6.4087097366342975,200.0
152,4.0,0.05,0.2,0.1,9,3,0.5833333333333334,0.3333333333333333,0.0,0.0,0.0,0.1586487377866134,0.7882407095911317,1.0,1.0,0.0,0.0576803061461821,63.17441512937743,200.0
153,4.0,0.05,0.4,0.02,0,3,0.0,0.0,1.0,0.0,0.465,0.6942534818705516,2.6262242336513615,1.0,0.6666666666666666,1.0,0.320937357381849,-93.27531151886546,200.0
153,4.0,0.05,0.4,0.02,1,3,0.0,0.0,1.0,0.0,0.4533333333333333,0.42701983932282656,2.488511766982982,1.0,1.0,1.0,0.331138343074913,-90.5406232108847,200.0
153,4.0,0.05,0.4,0.02,2,3,0.125,0.0,0.6666666666666666,0.0,0.355,0.4581737964961319,2.2366652681850994,1.0,1.0,0.6666666666666666,0.2924515114942021,-53.99310444971843,200.0
153,4.0,0.05,0.4,0.02,3,3,0.0,0.0,0.6666666666666666,0.0,0.2233333333333333,0.22355167572344273,1.6871828903416304,1.0,1.0,0.6666666666666666,0.19816115005157142,-48.51875465501629,200.0
153,4.0,0.05,0.4,0.02,4,3,0.049999999999999996,0.0,0.6666666666666666,0.0,0.2916666666666667,0.3375697522517617,2.1265131000724393,1.0,1.0,0.6666666666666666,0.25467479692148204,-51.01000768056144,200.0
153,4.0,0.05,0.4,0.02,5,3,0.041666666666666664,0.0,0.6666666666666666,0.0,0.3183333333333333,0.3845254057592184,2.1892793064868874,1.0,1.0,0.6666666666666666,0.2743918813806682,-52.83216790705859,200.0
153,4.0,0.05,0.4,0.02,6,3,0.0,0.0,0.6666666666666666,0.0,0.42333333333333334,0.5367159239429553,2.496653156263998,1.0,1.0,0.6666666666666666,0.30621337031868096,-54.978516749140844,200.0
